BEST_POSITION,FOOT,ATTACKING_WORK_RATE,DEFENSIVE_WORK_RATE,AGE,OVERALL,VALUE,POTENTIAL,HEIGHT,WEIGHT,SKILL_MOVES,WEEK_FOOT_ABILITY
MIDFIELD,Right,Unknown,Unknown,39,75,0.0,86,5.11,176,3.0,4.0
FORWARD,Right,Unknown,Unknown,30,81,0.0,81,6.2,176,1.0,4.0
DEFENSIVE,Right,Unknown,Unknown,34,82,0.0,90,6.2,190,1.0,3.0
FORWARD,Right,Medium,Medium,36,71,190000.0,71,6.1,196,3.0,4.0
FORWARD,Right,Medium,Low,34,77,2100000.0,77,6.1,176,3.0,3.0
FORWARD,Right,High,Medium,34,72,1600000.0,72,6.0,174,2.0,3.0
FORWARD,Right,Medium,Low,35,74,1100000.0,74,6.3,176,3.0,3.0
MIDFIELD,Left,Unknown,Unknown,33,72,0.0,85,6.0,181,2.0,3.0
FORWARD,Right,Unknown,Unknown,35,80,0.0,88,5.1,154,1.0,4.0
MIDFIELD,Left,Low,Medium,38,70,375000.0,70,6.0,172,3.0,3.0
MIDFIELD,Right,Medium,Medium,33,78,2700000.0,78,5.11,165,3.0,4.0
MIDFIELD,Right,Unknown,Unknown,33,74,0.0,83,5.9,161,4.0,4.0
DEFENSIVE,Left,Low,High,33,76,1200000.0,76,6.1,168,2.0,3.0
DEFENSIVE,Right,Medium,Medium,35,75,550000.0,75,6.4,190,2.0,3.0
FORWARD,Right,Medium,Low,35,76,1700000.0,76,6.0,179,3.0,3.0
MIDFIELD,Right,Medium,Low,33,76,3400000.0,76,5.9,176,3.0,4.0
MIDFIELD,Right,Medium,Low,35,73,1800000.0,73,5.8,154,3.0,4.0
MIDFIELD,Right,Low,Low,38,77,2200000.0,77,5.1,150,2.0,4.0
MIDFIELD,Left,Medium,Low,34,78,5437500.0,78,6.2,157,4.0,3.0
MIDFIELD,Right,Medium,Low,34,65,150000.0,65,5.1,165,3.0,3.0
DEFENSIVE,Left,Medium,Medium,35,74,300000.0,74,5.1,159,2.0,3.0
MIDFIELD,Right,Medium,Medium,36,79,4200000.0,79,5.1,159,3.0,3.0
MIDFIELD,Right,Medium,High,35,72,350000.0,72,5.9,152,2.0,3.0
DEFENSIVE,Right,Medium,Medium,35,64,45000.0,64,5.1,157,2.0,3.0
FORWARD,Right,Unknown,Unknown,33,74,0.0,81,6.2,198,1.0,2.0
DEFENSIVE,Right,Medium,Medium,36,65,0.0,65,6.0,176,2.0,3.0
MIDFIELD,Right,High,Medium,39,67,0.0,67,5.9,176,3.0,3.0
MIDFIELD,Left,Medium,Low,36,80,5000000.0,80,5.11,176,4.0,2.0
MIDFIELD,Right,High,Medium,33,76,1900000.0,76,5.1,154,3.0,4.0
FORWARD,Right,High,Low,36,81,5437500.0,81,5.1,165,4.0,3.0
MIDFIELD,Right,High,High,33,73,875000.0,73,5.9,152,3.0,4.0
FORWARD,Right,Medium,Low,34,77,2100000.0,77,6.2,176,3.0,3.0
MIDFIELD,Right,Medium,Medium,34,86,5437500.0,86,5.7,148,3.0,3.0
FORWARD,Left,Unknown,Unknown,31,64,0.0,82,6.2,181,1.0,4.0
FORWARD,Right,High,Medium,36,63,130000.0,63,6.1,183,2.0,4.0
DEFENSIVE,Right,Low,Medium,35,72,210000.0,72,6.6,205,2.0,3.0
FORWARD,Right,Medium,Low,33,66,325000.0,66,5.11,187,2.0,3.0
FORWARD,Right,Medium,Low,37,79,1300000.0,79,6.0,185,2.0,4.0
GOAL KEEPER,Right,Medium,Medium,38,64,45000.0,64,6.1,179,1.0,2.0
FORWARD,Right,Unknown,Unknown,30,57,0.0,63,5.11,170,1.0,3.0
GOAL KEEPER,Left,Medium,Medium,36,68,450000.0,68,6.2,185,1.0,2.0
DEFENSIVE,Left,Medium,High,35,76,900000.0,76,6.0,165,2.0,3.0
MIDFIELD,Right,Medium,High,30,78,3000000.0,78,5.11,161,2.0,4.0
MIDFIELD,Left,High,High,34,72,1000000.0,72,6.2,181,2.0,2.0
DEFENSIVE,Right,Medium,Medium,33,74,775000.0,74,6.1,181,2.0,3.0
DEFENSIVE,Right,Medium,High,35,83,1300000.0,83,5.1,176,2.0,3.0
FORWARD,Right,Unknown,Unknown,32,77,0.0,85,6.0,159,1.0,4.0
DEFENSIVE,Right,Medium,Medium,36,66,0.0,66,6.1,170,2.0,3.0
DEFENSIVE,Right,Medium,High,36,76,1000000.0,76,6.2,198,2.0,4.0
DEFENSIVE,Right,Medium,Medium,36,61,80000.0,61,5.11,179,2.0,3.0
MIDFIELD,Right,Medium,Medium,36,81,1400000.0,81,6.0,183,3.0,3.0
FORWARD,Right,Unknown,Unknown,31,64,0.0,75,5.11,148,1.0,4.0
GOAL KEEPER,Right,Medium,Medium,36,69,450000.0,69,6.4,198,1.0,3.0
FORWARD,Right,Unknown,Unknown,36,78,0.0,80,6.8,234,1.0,3.0
FORWARD,Right,Medium,Low,38,68,100000.0,68,6.1,181,3.0,4.0
FORWARD,Right,High,High,35,75,1500000.0,75,6.0,185,3.0,2.0
GOAL KEEPER,Right,Medium,Medium,40,71,240000.0,71,6.3,194,1.0,3.0
DEFENSIVE,Right,Medium,Medium,35,78,650000.0,78,6.6,209,2.0,2.0
DEFENSIVE,Right,Unknown,Unknown,38,62,0.0,72,6.2,190,1.0,3.0
GOAL KEEPER,Left,Medium,Medium,39,73,400000.0,73,6.1,172,1.0,3.0
DEFENSIVE,Right,Medium,High,34,72,950000.0,72,6.2,183,2.0,3.0
FORWARD,Right,Medium,Low,36,58,45000.0,58,6.4,203,2.0,2.0
MIDFIELD,Right,Medium,Low,40,74,0.0,74,6.1,168,4.0,4.0
FORWARD,Right,High,Medium,34,67,375000.0,67,6.0,174,2.0,3.0
FORWARD,Right,High,High,32,74,2700000.0,74,5.11,168,4.0,3.0
DEFENSIVE,Right,Medium,High,39,73,550000.0,73,6.0,176,2.0,3.0
MIDFIELD,Right,Medium,Low,35,80,5437500.0,80,6.3,203,4.0,4.0
MIDFIELD,Right,Medium,Low,36,74,275000.0,74,5.11,154,4.0,3.0
MIDFIELD,Right,High,Low,36,79,4200000.0,79,5.9,148,5.0,4.0
MIDFIELD,Right,Medium,Low,34,76,3900000.0,76,5.1,150,4.0,4.0
FORWARD,Right,High,Low,35,92,5437500.0,92,6.2,183,5.0,4.0
FORWARD,Right,High,Medium,32,77,2800000.0,77,5.11,163,3.0,4.0
MIDFIELD,Right,Low,Medium,35,79,3000000.0,79,6.2,163,2.0,3.0
GOAL KEEPER,Right,Medium,Medium,40,75,0.0,75,6.2,194,1.0,2.0
FORWARD,Right,Medium,Medium,38,56,30000.0,56,5.5,141,3.0,4.0
FORWARD,Right,Medium,Low,38,76,650000.0,76,6.4,194,2.0,4.0
MIDFIELD,Right,High,Low,35,79,2500000.0,79,6.0,174,4.0,4.0
MIDFIELD,Right,Medium,Medium,34,64,0.0,64,5.7,150,3.0,3.0
DEFENSIVE,Left,Unknown,Unknown,33,82,0.0,84,6.2,198,1.0,4.0
DEFENSIVE,Left,Low,Medium,37,74,0.0,74,6.0,179,2.0,3.0
MIDFIELD,Right,Medium,Medium,33,67,300000.0,67,5.1,154,3.0,3.0
MIDFIELD,Left,Unknown,Unknown,32,75,0.0,82,5.9,152,3.0,2.0
MIDFIELD,Right,Low,Medium,38,73,1000000.0,73,5.7,143,3.0,4.0
DEFENSIVE,Left,Low,High,39,74,0.0,74,6.1,183,2.0,3.0
DEFENSIVE,Right,Medium,High,35,74,300000.0,74,6.2,183,2.0,3.0
FORWARD,Right,Medium,Low,40,74,0.0,74,6.0,185,4.0,4.0
FORWARD,Right,Medium,Medium,38,73,1400000.0,73,6.2,176,3.0,3.0
MIDFIELD,Left,High,Medium,36,69,0.0,69,6.0,172,2.0,3.0
DEFENSIVE,Right,Medium,Medium,38,73,275000.0,73,6.0,165,2.0,3.0
DEFENSIVE,Left,Medium,High,37,77,0.0,77,6.4,194,2.0,2.0
MIDFIELD,Right,Low,Low,34,78,4100000.0,78,6.0,168,5.0,4.0
FORWARD,Left,Unknown,Unknown,33,72,0.0,79,5.1,161,1.0,3.0
MIDFIELD,Left,High,Medium,40,74,0.0,74,5.8,159,4.0,2.0
MIDFIELD,Right,Medium,Low,38,54,15000.0,54,5.9,168,3.0,4.0
DEFENSIVE,Left,Unknown,Unknown,33,62,0.0,68,6.2,165,1.0,3.0
MIDFIELD,Left,High,Low,42,65,0.0,65,5.1,157,3.0,3.0
FORWARD,Right,Low,Low,34,80,5437500.0,80,6.2,165,4.0,3.0
DEFENSIVE,Right,Low,Medium,35,68,80000.0,68,5.1,161,2.0,3.0
FORWARD,Right,Medium,Low,38,81,0.0,81,6.2,176,3.0,4.0
MIDFIELD,Left,Medium,Medium,34,77,4300000.0,77,6.1,183,3.0,3.0
MIDFIELD,Left,High,Medium,37,70,80000.0,70,5.9,146,3.0,2.0
FORWARD,Right,Medium,Medium,36,63,25000.0,63,5.9,154,3.0,3.0
MIDFIELD,Right,High,Low,34,72,400000.0,72,6.0,172,3.0,3.0
DEFENSIVE,Right,Medium,Medium,32,74,1100000.0,74,6.2,168,2.0,3.0
MIDFIELD,Right,Medium,High,38,68,190000.0,68,5.1,154,3.0,4.0
MIDFIELD,Right,Unknown,Unknown,33,77,0.0,91,6.0,209,5.0,4.0
DEFENSIVE,Left,High,Medium,37,68,100000.0,68,5.8,146,3.0,4.0
MIDFIELD,Right,High,High,32,78,4100000.0,78,5.1,161,3.0,3.0
MIDFIELD,Right,Medium,Medium,34,68,100000.0,68,6.1,165,2.0,3.0
MIDFIELD,Right,Medium,Medium,32,69,400000.0,69,5.1,170,3.0,3.0
DEFENSIVE,Right,Medium,Medium,35,73,400000.0,73,6.2,194,2.0,2.0
FORWARD,Right,High,Low,35,64,210000.0,64,6.3,209,2.0,3.0
FORWARD,Right,Medium,Low,38,83,5437500.0,83,6.5,209,5.0,4.0
DEFENSIVE,Right,Medium,Medium,33,77,3100000.0,77,6.2,181,2.0,3.0
MIDFIELD,Left,Medium,Medium,36,68,275000.0,68,6.0,174,2.0,3.0
FORWARD,Right,High,Low,34,67,375000.0,67,5.1,176,4.0,4.0
GOAL KEEPER,Left,Unknown,Unknown,37,72,0.0,82,6.2,172,1.0,3.0
MIDFIELD,Left,Medium,Low,33,66,425000.0,66,5.1,172,3.0,3.0
MIDFIELD,Right,Medium,Medium,33,78,5000000.0,78,5.9,141,3.0,4.0
MIDFIELD,Right,High,Medium,38,80,5000000.0,80,5.1,165,4.0,3.0
MIDFIELD,Right,Low,Low,34,82,5437500.0,82,6.0,176,2.0,4.0
MIDFIELD,Right,High,Low,35,74,1300000.0,74,6.1,161,4.0,4.0
DEFENSIVE,Right,Low,Medium,36,66,90000.0,66,6.2,176,2.0,4.0
MIDFIELD,Left,Low,Low,35,67,325000.0,67,5.9,163,3.0,4.0
DEFENSIVE,Right,Medium,Medium,37,75,450000.0,75,6.0,185,2.0,3.0
MIDFIELD,Right,Medium,High,37,69,275000.0,69,5.1,170,3.0,3.0
MIDFIELD,Right,Medium,Medium,34,64,50000.0,64,5.1,165,3.0,3.0
MIDFIELD,Left,High,Medium,34,81,4300000.0,81,5.11,150,3.0,4.0
MIDFIELD,Right,Medium,Medium,33,74,1500000.0,74,5.1,187,3.0,4.0
FORWARD,Right,Medium,Medium,29,75,2400000.0,75,5.8,157,4.0,4.0
DEFENSIVE,Left,Medium,Medium,35,68,210000.0,68,6.4,185,2.0,3.0
FORWARD,Right,Medium,High,36,72,1100000.0,72,6.0,179,3.0,3.0
DEFENSIVE,Right,Medium,Medium,33,71,950000.0,71,6.5,220,2.0,2.0
DEFENSIVE,Left,Low,High,37,75,450000.0,75,6.0,170,2.0,2.0
DEFENSIVE,Right,Medium,Medium,34,72,650000.0,72,6.5,203,2.0,3.0
MIDFIELD,Left,Medium,Medium,37,68,275000.0,68,6.0,163,3.0,5.0
DEFENSIVE,Right,Medium,High,35,60,30000.0,60,6.0,174,2.0,2.0
GOAL KEEPER,Right,Medium,Medium,37,75,675000.0,75,6.0,163,1.0,2.0
DEFENSIVE,Right,Low,Medium,36,73,0.0,73,6.0,163,2.0,3.0
GOAL KEEPER,Left,Medium,Medium,37,80,1000000.0,80,6.1,174,1.0,3.0
DEFENSIVE,Right,Low,High,38,71,475000.0,71,6.0,183,2.0,4.0
GOAL KEEPER,Left,Medium,Medium,36,81,2400000.0,81,6.5,198,1.0,2.0
GOAL KEEPER,Right,Medium,Medium,38,74,575000.0,74,6.0,163,1.0,3.0
FORWARD,Right,High,High,33,74,2300000.0,74,6.3,194,2.0,3.0
MIDFIELD,Right,High,Medium,33,73,0.0,73,5.7,152,3.0,3.0
FORWARD,Right,Medium,Low,34,70,925000.0,70,6.1,183,2.0,4.0
MIDFIELD,Right,High,Medium,35,78,0.0,78,5.11,172,3.0,5.0
DEFENSIVE,Left,Medium,High,39,70,240000.0,70,6.0,179,2.0,2.0
MIDFIELD,Left,Medium,Medium,29,78,4700000.0,78,5.1,163,3.0,2.0
FORWARD,Right,Medium,Medium,34,77,4700000.0,77,6.1,174,3.0,4.0
MIDFIELD,Left,Medium,Medium,34,80,4500000.0,80,6.2,181,3.0,4.0
GOAL KEEPER,Left,Medium,Medium,37,73,400000.0,73,6.2,185,1.0,3.0
FORWARD,Right,Medium,Medium,37,70,625000.0,70,6.2,187,3.0,4.0
MIDFIELD,Right,Low,Low,35,65,230000.0,65,5.11,165,3.0,3.0
DEFENSIVE,Right,Low,Medium,33,67,300000.0,67,6.2,185,2.0,2.0
MIDFIELD,Right,High,Medium,34,75,2000000.0,75,5.7,146,4.0,4.0
GOAL KEEPER,Right,Medium,Medium,41,69,0.0,69,6.2,190,1.0,2.0
FORWARD,Right,Medium,Low,37,73,1400000.0,73,5.7,143,3.0,4.0
FORWARD,Right,Low,Low,33,70,1100000.0,70,5.11,161,3.0,3.0
DEFENSIVE,Right,Medium,High,38,63,70000.0,63,6.0,183,2.0,3.0
DEFENSIVE,Right,Medium,Medium,30,82,5437500.0,82,6.2,190,2.0,4.0
GOAL KEEPER,Right,Medium,Medium,40,69,170000.0,69,6.2,201,1.0,3.0
MIDFIELD,Left,Medium,Medium,37,67,250000.0,67,5.7,143,3.0,4.0
DEFENSIVE,Right,Medium,Medium,34,73,400000.0,73,5.8,152,2.0,3.0
FORWARD,Right,Medium,Medium,37,72,900000.0,72,6.7,165,2.0,3.0
GOAL KEEPER,Right,Medium,Medium,35,70,425000.0,70,6.3,203,1.0,2.0
FORWARD,Right,High,Low,37,70,475000.0,70,5.1,141,3.0,3.0
GOAL KEEPER,Right,Unknown,Unknown,39,83,0.0,87,6.6,196,1.0,3.0
GOAL KEEPER,Right,Medium,Medium,38,65,50000.0,65,6.2,201,1.0,2.0
FORWARD,Right,Medium,Low,34,65,275000.0,65,6.1,161,3.0,3.0
DEFENSIVE,Right,Low,Medium,32,75,850000.0,75,6.0,181,2.0,2.0
DEFENSIVE,Left,Medium,High,36,75,775000.0,75,5.9,165,3.0,2.0
MIDFIELD,Right,Medium,Medium,39,68,220000.0,68,5.6,159,3.0,3.0
DEFENSIVE,Left,Medium,Medium,33,71,950000.0,71,6.3,192,2.0,4.0
MIDFIELD,Left,Medium,Medium,35,67,325000.0,67,6.1,185,3.0,2.0
GOAL KEEPER,Right,Medium,Medium,35,66,170000.0,66,6.3,187,1.0,2.0
DEFENSIVE,Right,Low,Medium,36,66,130000.0,66,6.2,183,2.0,4.0
GOAL KEEPER,Right,Unknown,Unknown,37,73,0.0,82,6.2,168,1.0,1.0
DEFENSIVE,Left,High,Medium,29,69,450000.0,69,6.0,185,2.0,2.0
MIDFIELD,Right,Medium,Medium,34,71,725000.0,71,5.11,172,2.0,4.0
DEFENSIVE,Right,Low,High,35,74,550000.0,74,6.4,196,2.0,2.0
FORWARD,Right,Medium,Low,31,69,575000.0,69,5.1,165,3.0,4.0
GOAL KEEPER,Right,Medium,Medium,33,68,625000.0,68,6.4,243,1.0,2.0
DEFENSIVE,Left,Medium,Medium,35,74,1200000.0,74,5.1,150,2.0,3.0
FORWARD,Right,Medium,Medium,35,74,2600000.0,74,6.4,181,3.0,3.0
DEFENSIVE,Right,Low,High,36,74,0.0,74,6.0,159,2.0,3.0
GOAL KEEPER,Left,Medium,Medium,36,71,400000.0,71,6.4,183,1.0,3.0
MIDFIELD,Right,High,Low,33,81,5000000.0,81,5.6,161,4.0,4.0
DEFENSIVE,Right,Medium,High,35,82,5437500.0,82,6.0,183,2.0,4.0
MIDFIELD,Right,Medium,High,41,60,0.0,60,5.9,165,2.0,3.0
DEFENSIVE,Left,Medium,Medium,34,79,2900000.0,79,5.9,161,3.0,2.0
DEFENSIVE,Right,Low,Medium,33,63,150000.0,63,6.0,157,2.0,4.0
MIDFIELD,Left,Medium,Medium,29,59,80000.0,59,5.7,154,2.0,3.0
MIDFIELD,Right,Medium,High,32,74,3200000.0,74,5.9,159,2.0,3.0
MIDFIELD,Right,Low,Medium,35,67,180000.0,67,5.8,134,3.0,3.0
DEFENSIVE,Right,Low,Medium,36,65,70000.0,65,6.4,185,2.0,3.0
DEFENSIVE,Right,Low,Medium,32,80,5437500.0,80,6.6,198,2.0,3.0
DEFENSIVE,Left,High,Medium,34,74,1700000.0,74,6.3,196,2.0,3.0
FORWARD,Left,High,Low,38,65,190000.0,65,6.3,196,3.0,2.0
MIDFIELD,Right,Medium,Medium,38,60,70000.0,60,5.1,161,3.0,3.0
GOAL KEEPER,Right,Medium,Medium,34,67,325000.0,67,6.0,163,1.0,3.0
GOAL KEEPER,Right,Medium,Medium,37,70,180000.0,70,6.4,183,1.0,4.0
MIDFIELD,Right,Medium,Medium,34,76,2100000.0,76,5.9,161,4.0,3.0
MIDFIELD,Right,High,High,36,64,140000.0,64,5.8,161,2.0,4.0
DEFENSIVE,Right,Medium,Medium,37,72,625000.0,72,5.11,192,2.0,3.0
GOAL KEEPER,Right,Medium,Medium,47,48,3000.0,48,6.2,190,1.0,3.0
DEFENSIVE,Right,Medium,High,33,68,425000.0,68,6.2,159,2.0,4.0
MIDFIELD,Left,Medium,Medium,34,70,900000.0,70,5.11,141,3.0,3.0
MIDFIELD,Right,Low,Medium,32,71,1600000.0,71,6.2,176,2.0,5.0
GOAL KEEPER,Right,Medium,Medium,37,64,45000.0,64,6.1,176,1.0,2.0
MIDFIELD,Right,Medium,Medium,34,77,4300000.0,77,5.9,183,3.0,3.0
MIDFIELD,Right,Medium,High,35,69,450000.0,69,5.7,141,3.0,2.0
MIDFIELD,Left,Medium,Low,32,70,1100000.0,70,5.6,141,3.0,4.0
FORWARD,Left,Medium,Low,29,68,675000.0,68,5.7,134,3.0,4.0
MIDFIELD,Right,Medium,Medium,31,73,1500000.0,73,5.1,157,4.0,4.0
GOAL KEEPER,Right,Medium,Medium,38,63,35000.0,63,6.2,187,1.0,3.0
GOAL KEEPER,Right,Medium,Medium,36,69,140000.0,69,6.3,185,1.0,2.0
GOAL KEEPER,Right,Medium,Medium,38,70,120000.0,70,6.2,203,1.0,3.0
MIDFIELD,Right,Medium,Medium,35,70,500000.0,70,5.1,161,3.0,3.0
GOAL KEEPER,Left,Medium,Medium,40,57,10000.0,57,6.2,176,1.0,2.0
MIDFIELD,Right,Medium,Medium,32,75,5000000.0,75,6.1,174,2.0,4.0
MIDFIELD,Right,High,Medium,32,74,2500000.0,74,5.9,174,3.0,4.0
DEFENSIVE,Right,Medium,High,36,69,0.0,69,5.9,168,2.0,4.0
GOAL KEEPER,Right,Medium,Medium,35,77,2400000.0,77,6.3,190,1.0,4.0
MIDFIELD,Right,High,Medium,36,68,300000.0,68,5.9,150,3.0,4.0
MIDFIELD,Right,Medium,High,36,66,200000.0,66,5.1,163,3.0,4.0
GOAL KEEPER,Right,Medium,Medium,41,59,15000.0,59,6.2,196,1.0,3.0
GOAL KEEPER,Left,Medium,Medium,41,67,80000.0,67,5.11,194,1.0,2.0
FORWARD,Right,Medium,Low,36,66,230000.0,66,5.11,174,2.0,4.0
GOAL KEEPER,Right,Medium,Medium,40,73,400000.0,73,6.4,194,1.0,3.0
DEFENSIVE,Right,Medium,Medium,35,68,210000.0,68,5.11,174,2.0,3.0
FORWARD,Left,Medium,Low,31,73,1500000.0,73,6.2,194,3.0,2.0
FORWARD,Right,Medium,Low,38,81,5437500.0,81,6.0,172,3.0,3.0
GOAL KEEPER,Right,Medium,Medium,34,82,5437500.0,82,6.0,172,1.0,3.0
GOAL KEEPER,Right,Medium,Medium,35,65,150000.0,65,6.5,205,1.0,2.0
GOAL KEEPER,Right,Medium,Medium,37,72,325000.0,72,6.5,196,1.0,3.0
MIDFIELD,Right,Medium,Medium,34,74,1700000.0,74,6.0,181,3.0,3.0
DEFENSIVE,Right,Medium,High,35,76,450000.0,76,6.2,190,2.0,3.0
MIDFIELD,Left,Medium,Medium,34,69,400000.0,69,6.0,176,2.0,3.0
DEFENSIVE,Right,High,High,35,72,875000.0,72,6.0,168,3.0,3.0
DEFENSIVE,Right,Medium,High,39,70,0.0,70,6.3,196,2.0,3.0
MIDFIELD,Right,High,Low,34,73,1500000.0,73,5.11,165,3.0,3.0
GOAL KEEPER,Right,Medium,Medium,37,72,0.0,72,6.1,181,1.0,3.0
MIDFIELD,Right,Medium,Low,34,71,1200000.0,71,5.11,159,4.0,3.0
